timestamp,timestamp_sample,device_id,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2],calibration_count
2828198268,2828142170,8944899,-0.007884371,-0.09500315,0.45422435,3
2828622811,2828622784,8944899,-0.0069052745,-0.12767203,0.44582966,3
2829173740,2829173720,8944899,-0.010196255,-0.111431666,0.4508303,3
2829586254,2829586230,8944899,-0.021031698,-0.10179275,0.4517021,3
2830135486,2830135466,8944899,-0.024131082,-0.10514859,0.4507301,3
2830685202,2830685175,8944899,-0.01297019,-0.0938062,0.45424798,3
2831097632,2831097612,8944899,-0.027260773,-0.09325525,0.45272356,3
2831648625,2831648581,8944899,-0.13552043,-0.102115646,0.4250962,3
2832197889,2832197869,8944899,-0.14507869,-0.085702196,0.42533875,3
2832611666,2832611639,8944899,-0.16161172,-0.10059843,0.41695434,3
2833160476,2833160452,8944899,-0.17420782,-0.101279765,0.4102391,3
2833698080,2833641946,8944899,-0.17914176,-0.09268623,0.41025057,3
2834123456,2834123430,8944899,-0.14042877,-0.08757306,0.42735592,3
2834673005,2834672985,8944899,-0.1374935,-0.10394351,0.42446813,3
2835085671,2835085622,8944899,-0.14346401,-0.109101765,0.42046162,3
2835635201,2835635178,8944899,-0.14563513,-0.12136885,0.41680983,3
2836185791,2836185766,8944899,-0.14324473,-0.11073832,0.4211177,3
2836597723,2836597703,8944899,-0.11936683,-0.22898881,0.3790971,3
2837148486,2837148462,8944899,0.074628465,-0.22058007,0.40650305,3
2837698066,2837698046,8944899,0.25022563,-0.15858574,0.37978372,3
2838110227,2838110201,8944899,0.26360902,-0.12360218,0.3864529,3
2838661411,2838661385,8944899,0.24338515,-0.14092158,0.39156398,3
2839198526,2839141929,8944899,0.23868299,-0.17030309,0.38253888,3
2839622874,2839622850,8944899,0.26066518,-0.16366123,0.37267557,3
2840172503,2840172483,8944899,0.23010905,-0.1742062,0.38686162,3
2840585197,2840585169,8944899,0.1318515,-0.13871121,0.43485272,3
2841135193,2841135172,8944899,0.009600722,-0.17864054,0.42888448,3
2841686315,2841686289,8944899,-0.007681012,-0.16552548,0.43294033,3
2842098009,2842097989,8944899,0.016120968,-0.16949423,0.4328331,3
2842647533,2842647508,8944899,0.03412449,-0.16236839,0.43457642,3
2843198017,2843197997,8944899,0.20939298,-0.19012429,0.38774133,3
2843610410,2843610384,8944899,0.27680144,-0.15130448,0.36719918,3
2844159995,2844159971,8944899,0.22830328,-0.1543917,0.39751485,3
2844697791,2844641757,8944899,0.1067424,-0.14440688,0.43692037,3
2845123449,2845123424,8944899,0.031162063,-0.17508425,0.430163,3
2846085711,2846085665,8944899,0.06823435,-0.13329652,0.44496226,3
2846635083,2846635063,8944899,0.075360775,-0.13789055,0.44318485,3
