timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
2773735975,2773735641,-0.9806716,-0.045939688,-0.004002382,0.19014952,-0.99999946,5.820311e-11,1.7189292e-09,0.0010412207,8
2773789748,2773785857,-0.9806361,-0.045580734,-0.0039401134,0.19042005,-0.99999946,5.820311e-11,1.7189292e-09,0.0010412207,8
2773836009,2773835641,-0.9806898,-0.044740483,-0.0037969835,0.19034554,-0.99999946,5.820311e-11,1.7189292e-09,0.0010412207,8
2773885986,2773885641,-0.98068255,-0.044418994,-0.004221402,0.19044957,-0.99999946,5.820311e-11,1.7189292e-09,0.0010412207,8
2773936121,2773935686,-0.9807489,-0.043713033,-0.0039854157,0.1902763,-0.99999946,5.820311e-11,1.7189292e-09,0.0010412207,8
2773986072,2773985583,-0.98081946,-0.04285448,-0.004035059,0.19010639,-0.99999946,5.820311e-11,1.7189292e-09,0.0010412207,8
2774036049,2774035642,-0.9808813,-0.040865954,-0.0040774867,0.19022469,-0.99999946,5.820311e-11,1.7189292e-09,0.0010412207,8
2774089721,2774085800,-0.98097366,-0.03890747,-0.0038179958,0.19016416,-0.99999946,5.820311e-11,1.7189292e-09,0.0010412207,8
2774136020,2774135550,-0.98112154,-0.035939023,-0.0033625301,0.1899941,-0.99999946,5.820311e-11,1.7189292e-09,0.0010412207,8
2774186027,2774185642,-0.98120964,-0.032645177,-0.002644211,0.19014463,-0.99999946,5.820311e-11,1.7189292e-09,0.0010412207,8
2774236124,2774235625,-0.9812945,-0.028903956,-0.0023787345,0.19031557,-0.99999946,5.820311e-11,1.7189292e-09,0.0010412207,8
2774285990,2774285516,-0.9813502,-0.023561612,-0.0020096446,0.19076897,-0.99999946,5.820311e-11,1.7189292e-09,0.0010412207,8
2774336054,2774335566,-0.9814147,-0.018352302,-0.0015847129,0.19101323,-0.99999946,5.820311e-11,1.7189292e-09,0.0010412207,8
2774386105,2774385590,-0.9814759,-0.013239104,-0.0007193275,0.19112647,-0.99999946,5.820311e-11,1.7189292e-09,0.0010412207,8
2774435976,2774435641,-0.98156524,-0.0068509234,-0.0005585043,0.19100417,-0.99999946,5.820311e-11,1.7189292e-09,0.0010412207,8
2774486014,2774485642,-0.9815758,0.00090987416,-8.506527e-05,0.191071,-0.99999946,5.820311e-11,1.7189292e-09,0.0010412207,8
2774536094,2774535765,-0.9817238,0.007797106,0.00063237885,0.1901505,-0.99999946,5.820311e-11,1.7189292e-09,0.0010412207,8
2774586034,2774585641,-0.98173755,0.014569686,0.0017537625,0.18967374,-0.99999946,5.820311e-11,1.7189292e-09,0.0010412207,8
2774635992,2774635642,-0.98163784,0.022708299,0.0035249675,0.18936501,-0.99999946,5.820311e-11,1.7189292e-09,0.0010412207,8
2774685996,2774685555,-0.9816179,0.029819632,0.0056217965,0.1884292,-0.99999946,5.820311e-11,1.7189292e-09,0.0010412207,8
2774735939,2774735643,-0.98154557,0.03679417,0.0074872635,0.18750618,-0.99999946,5.820311e-11,1.7189292e-09,0.0010412207,8
2774786015,2774785640,-0.98146623,0.04124848,0.008838683,0.18693472,-0.99999946,5.820311e-11,1.7189292e-09,0.0010412207,8
2774836031,2774835556,-0.9814062,0.044289388,0.009680636,0.18651174,-0.99999946,5.820311e-11,1.7189292e-09,0.0010412207,8
2774885967,2774885641,-0.98131794,0.046688884,0.010843289,0.18632708,-0.99999946,5.820311e-11,1.7189292e-09,0.0010412207,8
2774936008,2774935640,-0.9812353,0.047675624,0.011687969,0.18646106,-0.99999946,5.820311e-11,1.7189292e-09,0.0010412207,8
2774986033,2774985641,-0.9811908,0.046329405,0.011452517,0.1870483,-0.99999946,5.820311e-11,1.7189292e-09,0.0010412207,8
2775035979,2775035562,-0.9811044,0.043414194,0.011951157,0.18816653,-0.99999946,5.820311e-11,1.7189292e-09,0.0010412207,8
2775085991,2775085654,-0.98116124,0.0362053,0.010382051,0.18948387,-0.99999946,5.820311e-11,1.7189292e-09,0.0010412207,8
2775135997,2775135640,-0.98128873,0.02693452,0.006849965,0.19052593,-0.99999946,5.820311e-11,1.7189292e-09,0.0010412207,8
2775185966,2775185641,-0.98126423,0.021821458,0.0031921547,0.19140074,-0.99999946,5.820311e-11,1.7189292e-09,0.0010412207,8
2775235995,2775235641,-0.98116165,0.015009234,0.001360507,0.19259983,-0.99999946,5.820311e-11,1.7189292e-09,0.0010412207,8
