t,x,y
4336000,0.4493830099511549,12.94052597875028
4356000,0.45296699632363513,12.949195460135295
4376000,0.45743213822974166,12.95932415952882
4396000,0.46187954463233555,12.968576941395522
4416000,0.4663191572869763,12.976973147773586
4436000,0.47074980838523284,12.984524552096659
4460000,0.47516997665712746,12.991249972789257
4480000,0.48046136885147184,12.998353891913828
4500000,0.4848613348726851,13.003325713195357
4516000,0.48924986728872116,13.007517907403171
4540000,0.49275139634071335,13.010253583918898
4556000,0.49799059048932615,13.013629571677285
4580000,0.5014749296713048,13.015162545609005
4596000,0.5066912174625201,13.016758962898157
4620000,0.5101509687098649,13.017133439663404
4636000,0.5153254129018537,13.017034056424428
4656000,0.5187699646400977,13.016312876431483
4676000,0.523068271316319,13.014878979079501
4700000,0.527361494527294,13.012799138432428
4716000,0.5325174472114949,13.009545921447765
4736000,0.5359557698065462,13.006776167456284
4756000,0.5402428451183149,13.002825807977192
4780000,0.5445186083485826,12.998295270850454
4800000,0.5496460481158805,12.992166454740115
4816000,0.5538966057402999,12.986374958483118
4836000,0.557279569402778,12.981298657372987
4856000,0.5614831696757691,12.97451804622565
4876000,0.5656647650380352,12.967221271663687
4900000,0.569831331907059,12.959425193532077
4916000,0.5748187526087457,12.949497159532978
4936000,0.578131426165863,12.942433644586012
4956000,0.5822612052136158,12.933241208614616
4980000,0.5863838737505392,12.923603973251563
4996000,0.5913105626556662,12.911538613979545
5016000,0.5945851700417829,12.903114663996815
5036000,0.5986709003836863,12.892278377015524
5056000,0.602749535847948,12.881080922186127
5080000,0.6068419390003992,12.869541900560863
5100000,0.6118026630268665,12.855302332850728
5116000,0.6160188561115683,12.843067278437674
5140000,0.6194700414586897,12.833043493723636
5156000,0.6247734422930843,12.817748608159715
5176000,0.6284642566627358,12.80730908299222
5200000,0.6332435109227392,12.794077635187149
5216000,0.6392670516850546,12.777947627333477
5236000,0.6435395371547322,12.767007336214943
5256000,0.649111616408,12.753189942453952
5276000,0.6549919030070686,12.739214688385278
5300000,0.6612117990550381,12.725099991325816
5316000,0.6691105144223876,12.708012210736552
5340000,0.674745394243603,12.696504698514504
5356000,0.6835974488627407,12.67914081675904
5376000,0.6899154953927671,12.667469979053166
5400000,0.6981724130238612,12.652817653776822
5416000,0.7086482997280402,12.635142235962578
5436000,0.7161056361758295,12.623290097768534
5456000,0.72583416149081,12.608423295509434
